Date,Open,High,Low,Close
2020-04-01 10:00:00,248.89,250.72,248.19,250.22
2020-04-01 11:00:00,250.22,251.44,248.27,248.75
2020-04-01 12:00:00,248.75,248.76,245.81,246.24
2020-04-01 13:00:00,246.24,248.15,245.94,247.9
2020-04-01 14:00:00,247.9,248.72,245.73,245.79
2020-04-01 15:00:00,245.79,247.24,243.9,246.13
2020-04-02 09:00:00,245.2,247.96,244.59,246.5
2020-04-02 10:00:00,246.5,252.68,246.15,250.86
2020-04-02 11:00:00,250.86,251.34,248.67,250.79
2020-04-02 12:00:00,250.79,251.95,250.21,250.98
2020-04-02 13:00:00,250.98,251.72,247.53,248.25
2020-04-02 14:00:00,248.25,249.35,245.92,249.31
2020-04-02 15:00:00,249.31,252.26,248.37,251.86
2020-04-03 09:00:00,250.76,253.32,250.48,251.81
2020-04-03 10:00:00,251.81,252.74,248.78,249.63
2020-04-03 11:00:00,249.63,250.29,247.4,248.22
2020-04-03 12:00:00,248.22,248.55,246.35,247.57
2020-04-03 13:00:00,247.57,248.18,245.65,246.09
2020-04-03 14:00:00,246.09,247.78,245.23,247.7
2020-04-03 15:00:00,247.7,249.16,245.86,248.21
2020-04-06 09:00:00,257.86,259.99,256.72,259.79
2020-04-06 10:00:00,259.79,260.81,258.72,259.33
2020-04-06 11:00:00,259.33,261.24,258.91,260.86
2020-04-06 12:00:00,260.86,262.5,260.67,262.38
2020-04-06 13:00:00,262.38,262.95,261.59,262.81
2020-04-06 14:00:00,262.81,262.83,261.28,262.43
2020-04-06 15:00:00,262.43,266.97,261.74,264.96
2020-04-07 09:00:00,274.21,275.03,271.83,273.75
2020-04-07 10:00:00,273.75,273.98,268.02,269.03
2020-04-07 11:00:00,269.03,272.54,268.29,271.5
2020-04-07 12:00:00,271.5,273.92,271.44,272.65
2020-04-07 13:00:00,272.65,273.24,270.53,270.78
2020-04-07 14:00:00,270.78,270.91,266.15,266.71
2020-04-07 15:00:00,266.71,269.84,264.89,265.1
2020-04-08 09:00:00,267.94,269.0,266.25,266.48
2020-04-08 10:00:00,266.48,269.0,265.56,268.92
2020-04-08 11:00:00,268.92,271.72,268.32,270.79
2020-04-08 12:00:00,270.79,272.36,270.24,271.5
2020-04-08 13:00:00,271.5,272.15,270.06,270.3
2020-04-08 14:00:00,270.3,273.82,270.18,273.77
2020-04-08 15:00:00,273.77,275.41,272.15,274.09
2020-04-09 09:00:00,277.58,280.61,276.86,280.5
2020-04-09 10:00:00,280.5,280.59,277.06,279.36
2020-04-09 11:00:00,279.36,279.77,277.12,279.43
2020-04-09 12:00:00,279.43,280.96,279.12,280.58
2020-04-09 13:00:00,280.58,281.2,278.88,279.89
2020-04-09 14:00:00,279.89,279.98,275.47,276.58
2020-04-09 15:00:00,276.58,278.94,276.0,278.24
2020-04-13 09:00:00,277.15,277.42,273.97,274.15
2020-04-13 10:00:00,274.15,275.59,272.1,272.74
2020-04-13 11:00:00,272.74,274.09,271.41,273.63
2020-04-13 12:00:00,273.63,275.07,272.94,273.29
2020-04-13 13:00:00,273.29,274.57,272.45,274.08
2020-04-13 14:00:00,274.08,274.81,272.97,274.25
2020-04-13 15:00:00,274.25,276.59,273.22,275.57
2020-04-14 09:00:00,280.94,282.87,279.91,282.85
2020-04-14 10:00:00,282.85,283.78,281.56,281.57
2020-04-14 11:00:00,281.57,282.09,280.1,281.17
2020-04-14 12:00:00,281.17,283.29,281.17,282.9
2020-04-14 13:00:00,282.9,284.0,282.29,283.74
2020-04-14 14:00:00,283.74,284.3,283.28,283.94
2020-04-14 15:00:00,283.94,284.7,282.55,283.87
2020-04-15 09:00:00,277.57,278.39,276.33,277.37
2020-04-15 10:00:00,277.37,277.57,275.46,276.78
2020-04-15 11:00:00,276.78,277.28,275.62,276.14
2020-04-15 12:00:00,276.14,277.86,275.76,277.36
2020-04-15 13:00:00,277.36,278.74,277.03,277.17
2020-04-15 14:00:00,277.17,279.41,277.17,279.38
2020-04-15 15:00:00,279.38,279.59,277.07,277.75
2020-04-16 09:00:00,279.15,279.74,276.69,276.83
2020-04-16 10:00:00,276.83,278.63,275.76,278.52
2020-04-16 11:00:00,278.52,280.03,278.18,279.72
2020-04-16 12:00:00,279.72,279.99,275.83,277.27
2020-04-16 13:00:00,277.27,278.21,276.99,277.45
2020-04-16 14:00:00,277.45,279.0,276.8,278.32
2020-04-16 15:00:00,278.32,279.98,277.54,279.21
2020-04-17 09:00:00,285.37,285.68,284.06,285.46
2020-04-17 10:00:00,285.46,285.68,282.55,283.38
2020-04-17 11:00:00,283.38,284.0,282.4,283.51
2020-04-17 12:00:00,283.51,284.65,282.92,284.35
2020-04-17 13:00:00,284.35,284.77,283.77,284.09
2020-04-17 14:00:00,284.09,284.09,282.65,283.63
2020-04-17 15:00:00,283.63,287.3,283.5,286.73
2020-04-20 09:00:00,282.61,283.99,282.22,283.34
